Latitude,Longitude,CountryName
-25.274398,133.775136,Australia
47.516231,14.550072,Austria
50.503887,4.469936,Belgium
56.130366,-106.346771,Canada
49.817492,15.472962,Czechia
56.26392,9.501785,Denmark
61.92411,25.748151,Finland
46.227638,2.213749,France
51.165691,10.451526,Germany
39.074208,21.824312,Greece
47.162494,19.503304,Hungary
53.41291,-8.24389,Ireland
41.87194,12.56738,Italy
36.204824,138.252924,Japan
49.815273,6.129583,Luxembourg
23.634501,-102.552784,Mexico
52.132633,5.291266,Netherlands
-40.900557,174.885971,New Zealand
60.472024,8.468946,Norway
51.919438,19.145136,Poland
39.399872,-8.224454,Portugal
48.669026,19.699024,Slovakia
40.463667,-3.74922,Spain
60.128161,18.643501,Sweden
46.818188,8.227512,Switzerland
55.378051,-3.435973,United Kingdom
37.09024,-95.712891,United States of America
-4.679574,55.491977,Seychelles
-13.254308,34.301525,Malawi
-6.369028,34.888822,Tanzania
1.650801,10.267895,Eq. Guinea
8.537981,-80.782127,Panama
6.611111,20.939444,Central African Rep.
47.411631,28.369885,Moldova
18.220833,-66.590149,Puerto Rico
18.109581,-77.297508,Jamaica
41.608635,21.745275,Macedonia
18.735693,-70.162651,Dominican Rep.
19.85627,102.495496,Laos
4.535277,114.727669,Brunei
11.825138,42.590275,Djibouti
-18.665695,35.529562,Mozambique
21.00789,-10.940835,Mauritania
-29.609988,28.233608,Lesotho
47.166,9.555373,Liechtenstein
35.126413,33.429859,Cyprus
45.943161,24.96676,Romania
20.593684,78.96288,India
23.424076,53.847818,United Arab Emirates
44.016521,21.005859,Serbia
43.915886,17.679076,Bosnia and Herz.
-35.675147,-71.542969,Chile
26.3351,17.228331,Libya
17.570692,-3.996166,Mali
-19.015438,29.154857,Zimbabwe
28.033886,1.659626,Algeria
-9.64571,160.156194,Solomon Is.
29.31166,47.481766,Kuwait
6.428055,-9.429499,Liberia
46.862496,103.846656,Mongolia
14.497401,-14.452362,Senegal
-16.290154,-63.588653,Bolivia
7.946527,-1.023194,Ghana
25.354826,51.183884,Qatar
41.377491,64.585262,Uzbekistan
-14.235004,-51.92528,Brazil
48.019573,66.923684,Kazakhstan
4.210484,101.975766,Malaysia
42.315407,43.356892,Georgia
46.151241,14.995463,Slovenia
53.709807,27.953389,Belarus
21.521757,-77.781167,Cuba
5.152149,46.199616,Somalia
23.684994,90.356331,Bangladesh
-15.376706,166.959158,Vanuatu
17.189877,-88.49765,Belize
15.870032,100.992541,Thailand
35.907757,127.766922,South Korea
-22.95764,18.49041,Namibia
33.886917,9.537499,Tunisia
21.512583,55.923255,Oman
9.748917,-83.753428,Costa Rica
26.820553,30.802498,Egypt
15.783471,-90.230759,Guatemala
-0.789275,113.921327,Indonesia
31.791702,-7.09262,Morocco
23.885942,45.079162,Saudi Arabia
13.443182,-15.310139,Gambia
38.969719,59.556278,Turkmenistan
-51.796253,-59.523613,Falkland Is.
1.373333,32.290275,Uganda
4.570868,-74.297333,Colombia
-13.133897,27.849332,Zambia
40.069099,45.038189,Armenia
-18.766947,46.869107,Madagascar
-6.314993,143.95555,Papua New Guinea
11.803749,-15.180413,Guinea-Bissau
45.1,15.2,Croatia
-16.578193,179.414413,Fiji
55.169438,23.881275,Lithuania
15.552727,48.516388,Yemen
-4.038333,21.758664,Congo
38.861034,71.276093,Tajikistan
30.585164,36.238414,Jordan
-32.522779,-55.765835,Uruguay
14.058324,108.277199,Vietnam
15.454166,18.732207,Chad
-8.874217,125.727539,Timor-Leste
12.865416,-85.207229,Nicaragua
33.223191,43.679291,Iraq
6.42375,-66.58973,Venezuela
13.794185,-88.89653,El Salvado
17.607789,8.081666,Niger
8.619543,0.824782,Togo
40.143105,47.576927,Azerbaijan
27.514162,90.433601,Bhutan
-38.416097,-63.616672,Argentina
31.046051,34.851612,Israel
7.369722,12.354722,Cameroon
-3.373056,29.918886,Burundi
-23.442503,-58.443832,Paraguay
3.919305,-56.027783,Suriname
61.52401,105.318756,Russia
64.963051,-19.020835,Iceland
7.873054,80.771797,Sri Lanka
-0.803689,11.609444,Gabon
41.20438,74.766098,Kyrgyzstan
34.802075,38.996815,Syria
42.733883,25.48583,Bulgaria
35.86166,104.195397,China
-30.559482,22.937506,South Africa
21.913965,95.956223,Myanmar
18.971187,-72.285215,Haiti
32.427908,53.688046,Iran
25.930414,50.637772,Bahrain
15.179384,39.782334,Eritrea
-9.189967,-75.015152,Peru
-0.023559,37.906193,Kenya
9.945587,-9.696645,Guinea
12.879721,121.774017,Philippines
-1.940278,29.873888,Rwanda
12.862807,30.217636,Sudan
48.379433,31.16558,Ukraine
33.93911,67.709953,Afghanistan
15.199999,-86.241905,Honduras
9.30769,2.315834,Benin
-1.831239,-78.183406,Ecuador
-11.202692,17.873887,Angola
58.595272,25.013607,Estonia
10.691803,-61.222503,Trinidad and Tobago
9.081999,8.675277,Nigeria
40.339852,127.510093,North Korea
-22.328474,24.684866,Botswana
28.394857,84.124008,Nepal
12.565679,104.990963,Cambodia
30.375321,69.345116,Pakistan
33.854721,35.862285,Lebanon
25.03428,-77.39628,Bahamas
9.145,40.489673,Ethiopia
12.238333,-1.561593,Burkina Faso
8.460555,-11.779889,Sierra Leone
24.215527,-12.885834,W. Sahara
41.153332,20.168331,Albania
56.879635,24.603189,Latvia
4.860416,-58.93018,Guyana
-4.038333,21.758664,Dem. Rep. Congo
